"valor_txt","data_txt","codigo_txt"
"4.033,18","2025-04-08","747"
"4.373,76","2025-07-04","806"
"1715.71","03/09/2025","516"
"7.208,04","2025-01-12","784"
"3.338,35","2025-03-04","577"
"5.996,53","20/08/2025","639"
"6.453,13","2025-01-30","673"
"2.944,79","2025-07-22","588"
"6.852,75","17/07/2025","469"
"8057.56","2025-08-07","263"
"5517.60","2025-05-02","194"
"3727.95","26/08/2025","807"
"4796.46","2025-07-20","344"
"3.195,29","2025-09-23","568"
"3.981,06","15/03/2025","123"
"6.670,44","2025-08-01","298"
"6.941,16","2025-08-22","440"
"4.637,00","28/01/2025","218"
"1.219,94","2025-10-13","130"
"5.101,83","2025-03-09","873"
"3.676,08","22/09/2025","625"
"5.316,71","2025-09-28","894"
"1165.81","2025-07-28","263"
"5.434,62","28/04/2025","970"
"5.881,10","2025-01-10","541"
"R$ 4490.66","2025-09-10","417"
"4041.47","29/09/2025","326"
"6.508,17","2025-10-05","562"
"R$ 3564.79","2025-09-16","211"
"5.747,72","28/02/2025","690"
"4.333,74","2025-08-04","204"
"6.959,39","2025-07-20","310"
"8529.75","12/08/2025","122"
"70.62","2025-05-01","271"
"3.182,94","2025-03-27","941"
"3.403,22","30/04/2025","190"
"4.379,00","2025-09-20","145"
"8.021,63","2025-07-21","737"
"5.531,13","13/04/2025","721"
"6.426,83","2025-08-15","492"
"6.733,61","2025-05-14","607"
"7771.89","27/03/2025","827"
"R$ 8566.59","2025-08-06","990"
"651,05","2025-03-13","389"
"R$ 6922.55","13/02/2025","912"
"7581.80","2025-09-22","286"
"5340.26","2025-07-01","493"
"4.336,21","28/10/2025","884"
"1.025,19","2025-05-22","634"
"6.793,19","2025-09-17","475"
"1.726,82","28/02/2025","278"
"2.030,48","2025-10-09","746"
"","2025-05-13","746"
"5.093,00","05/08/2025","602"
"3870.30","2025-06-06","699"
"2.935,29","2025-01-29","435"
"8.111,86","20/01/2025","651"
"4.473,63","2025-02-23","459"
"6.454,63","2025-02-08","119"
"R$ 1832.50","04/04/2025","633"
"7.369,20","2025-08-03","165"
"8.656,79","2025-08-10","361"
"5.179,03","11/01/2025","556"
"293,88","2025-04-23","790"
"R$ 8863.48","2025-05-23","637"
"8.380,82","01/04/2025","395"
"3.918,14","2025-06-21","172"
"844,19","2025-05-22","380"
"2519.35","10/06/2025","570"
"6.453,68","2025-10-03","290"
"6271.29","2025-06-04","992"
"8053.03","18/08/2025","439"
"","2025-01-12","193"
"1.511,37","2025-07-09","807"
"8.222,38","31/03/2025","674"
"4395.01","2025-01-29","186"
"5.328,21","2025-01-18","592"
"5.748,99","24/08/2025","384"
"7374.72","2025-06-21","352"
"3.687,43","2025-06-18","900"
"681,37","30/01/2025","220"
"3.886,03","2025-06-18","949"
"715,71","2025-02-28","381"
"7.574,89","12/07/2025","544"
"8.261,62","2025-09-15","735"
"797,71","2025-05-04","498"
"2.329,21","01/02/2025","264"
"3.540,05","2025-02-22","556"
"5.836,28","2025-05-16","554"
"4.816,61","10/02/2025","475"
"4.464,90","2025-08-01","583"
"R$ 2400.56","2025-02-18","295"
"724,06","06/04/2025","757"
"1.793,54","2025-01-04","396"
"167,76","2025-08-26","429"
"","01/01/2025","405"
"2470.70","2025-06-20","243"
"2180.45","2025-05-08","641"
"3755.81","28/09/2025","355"
"","2025-06-09","292"
"8.719,03","2025-08-14","634"
"R$ 6450.29","22/04/2025","187"
"2.101,99","2025-01-16","858"
"5.528,40","2025-03-23","418"
"4.731,58","18/05/2025","767"
"235,75","2025-07-04","545"
"511,14","2025-03-26","122"
"3.121,51","13/08/2025","482"
"4.870,71","2025-04-17","103"
"5.423,24","2025-10-11","195"
"243,22","20/09/2025","577"
"6.982,82","2025-01-25","110"
"2.181,78","2025-08-24","476"
"5.258,40","20/06/2025","783"
"7.102,09","2025-02-13","306"
"8.324,12","2025-01-15","544"
"5.252,17","26/06/2025","303"
"1468.39","2025-06-25","780"
"8870.12","2025-03-14","331"
"2590.21","05/04/2025","563"
"2.343,75","2025-06-27","421"
"3.822,05","2025-10-02","939"
"4.505,79","25/05/2025","600"
"5.184,98","2025-04-04","800"
"5.193,23","2025-09-27","612"
"6.969,66","19/02/2025","911"
"4.749,09","2025-02-07","861"
"R$ 2157.75","2025-03-19","227"
"8495.89","05/10/2025","879"
"R$ 6696.34","2025-02-23","622"
"5.254,38","2025-05-24","196"
"600,25","24/07/2025","908"
"","2025-01-13","949"
"6887.16","2025-07-07","918"
"R$ 5772.53","07/07/2025","758"
"6.726,54","2025-07-18","398"
"1.922,44","2025-07-24","412"
"2.751,00","10/08/2025","868"
"1480.58","2025-10-08","805"
"3.622,67","2025-02-11","302"
"141,15","15/06/2025","660"
"7.749,70","2025-09-26","976"
"4.385,20","2025-07-17","287"
"7072.70","09/02/2025","759"
"1.839,89","2025-09-11","717"
"477.44","2025-04-15","640"
"1.787,63","21/02/2025","483"
"7.941,52","2025-09-25","700"
"8.542,63","2025-03-10","890"
"1.390,66","22/01/2025","280"
"7.061,96","2025-01-20","637"
"2.205,17","2025-06-02","409"
"3.687,58","21/05/2025","995"
"7.938,77","2025-06-30","531"
"5788.91","2025-09-19","532"
"3.251,51","13/04/2025","757"
"6.854,66","2025-01-10","491"
"5.066,49","2025-01-13","554"
"4.616,36","13/05/2025","993"
"7400.80","2025-08-17","449"
"4.955,42","2025-04-21","386"
"5742.07","25/04/2025","775"
"1.071,74","2025-02-23","441"
"949.56","2025-05-14","949"
"93,91","10/04/2025","969"
"2.045,81","2025-03-17","876"
"1.724,84","2025-01-09","376"
"1.215,08","19/06/2025","457"
"5757.60","2025-05-10","930"
"7.039,86","2025-10-15","253"
"6.671,33","11/06/2025","351"
"5.398,34","2025-06-25","741"
"3.689,27","2025-10-19","553"
"8.877,55","10/05/2025","369"
"5.245,20","2025-08-26","693"
"4.484,46","2025-07-01","889"
"2.421,07","25/02/2025","333"
"5.195,87","2025-04-16","506"
"8.772,22","2025-10-16","220"
"868,36","12/02/2025","329"
"890,56","2025-01-08","227"
"4.857,44","2025-05-04","222"
"8.078,99","23/03/2025","360"
"4.150,69","2025-09-14","159"
"8.022,02","2025-07-17","336"
"7.018,08","25/08/2025","114"
"6.860,26","2025-02-23","502"
"2.298,51","2025-09-01","357"
"7.587,84","09/09/2025","896"
"R$ 1600.75","2025-01-08","338"
"1.416,04","2025-09-03","294"
"8.708,93","12/06/2025","614"
"5.480,42","2025-08-03","540"
"4.569,94","2025-09-26","975"
"R$ 2285.38","29/08/2025","776"
"R$ 4775.26","2025-07-05","436"
"4993.77","2025-01-27","350"
"1012.64","07/02/2025","909"
"489,26","2025-08-01","682"
"7.942,74","2025-07-17","995"
"4.297,30","10/07/2025","183"
"569,68","2025-06-20","972"
